case_id,date,channel,agent_name,team,product_category,survey_score,survey_comment,conversation_transcript,qa_notes,resolution_status,escalation_status,human_label,human_root_cause
C0001,2026-02-17,Chat,Agent D,APAC Chat,Gimbal,1,Very poor service,"Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Weak Probing
C0002,2026-03-29,Email,Agent C,APAC Chat,Battery,2,Policy is unfair,"Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The agent explained that the warranty period had expired and offered the correct paid repair option, but the customer disagreed with the policy. Customer: I still do not agree with this outcome.",Agent followed process. Main driver appears to be Policy Limitation.,Escalated,Escalated to Policy Team,Non-Agent-Driven DSAT,Policy Limitation
C0003,2026-01-01,Voice,Agent E,NA Chat,Online Store,2,Bad support experience,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent transferred the customer without explaining the next step and did not summarize the issue. Customer: This is not helpful at all.,Potential handling issue observed: Poor Ownership.,Unresolved,Escalated to Tier 2,Agent-Driven DSAT,Poor Ownership
C0004,2026-03-06,Email,Agent D,Repair Voice,Camera,2,I felt ignored,"Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Resolved,Escalated to Policy Team,Agent-Driven DSAT,Incorrect Information
C0005,2026-01-28,Chat,Agent E,NA Email,Gimbal,1,No comment,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Resolved,Escalated to Policy Team,Needs QA Validation,Insufficient Information
C0006,2026-01-27,Email,Agent C,NA Chat,Online Store,2,Still unresolved,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Escalated,Escalated to Repair Center,Mixed Accountability,Previous Case Issue
C0007,2026-03-16,Voice,Agent A,Repair Voice,Online Store,1,Bad support experience,"Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Escalated,Escalated to Policy Team,Agent-Driven DSAT,Incorrect Information
C0008,2026-02-12,Email,Agent B,Repair Voice,Repair Service,1,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Escalated,Escalated to Policy Team,Non-Agent-Driven DSAT,System Issue
C0009,2026-01-20,Email,Agent E,NA Chat,Repair Service,2,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Escalated,Escalated to Tier 2,Non-Agent-Driven DSAT,System Issue
C0010,2026-02-14,Email,Agent A,NA Email,Drone,1,Agent did not help me,"Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Pending Backend,No Escalation,Agent-Driven DSAT,Weak Probing
C0011,2026-01-12,Email,Agent E,Repair Voice,Online Store,1,Not satisfied,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Pending Backend,No Escalation,Needs QA Validation,Insufficient Information
C0012,2026-02-14,Voice,Agent E,NA Chat,Online Store,1,Wrong information given,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Resolved,Escalated to Repair Center,Agent-Driven DSAT,Unprofessional Tone
C0013,2026-01-06,Chat,Agent A,Repair Voice,Camera,1,Bad support experience,"Customer: I need help with my Battery issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Escalated,Escalated to Tier 2,Agent-Driven DSAT,Weak Probing
C0014,2026-03-12,Chat,Agent E,NA Chat,Drone,2,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Resolved,No Escalation,Non-Agent-Driven DSAT,Repair Delay
C0015,2026-02-03,Chat,Agent E,Repair Voice,Repair Service,1,I felt ignored,Customer: I need help with my Drone issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent promised a callback within 24 hours but there was no follow-up recorded. Customer: This is not helpful at all.,Potential handling issue observed: Failure to Follow Up.,Escalated,Escalated to Policy Team,Agent-Driven DSAT,Failure to Follow Up
C0016,2026-02-21,Voice,Agent B,NA Email,Gimbal,1,Agent did not help me,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent transferred the customer without explaining the next step and did not summarize the issue. Customer: This is not helpful at all.,Potential handling issue observed: Poor Ownership.,Pending Customer,No Escalation,Agent-Driven DSAT,Poor Ownership
C0017,2026-03-26,Chat,Agent E,Repair Voice,Gimbal,1,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. The customer was impacted by process delay and the current agent also did not clearly explain the escalation timeline. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Escalation Mishandling.,Pending Customer,Escalated to Tier 2,Mixed Accountability,Escalation Mishandling
C0018,2026-02-24,Voice,Agent D,NA Email,Gimbal,1,I felt ignored,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent transferred the customer without explaining the next step and did not summarize the issue. Customer: This is not helpful at all.,Potential handling issue observed: Poor Ownership.,Resolved,Escalated to Repair Center,Agent-Driven DSAT,Poor Ownership
C0019,2026-01-27,Chat,Agent B,NA Chat,Gimbal,1,Wrong information given,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent transferred the customer without explaining the next step and did not summarize the issue. Customer: This is not helpful at all.,Potential handling issue observed: Poor Ownership.,Escalated,Escalated to Repair Center,Agent-Driven DSAT,Poor Ownership
C0020,2026-03-11,Voice,Agent D,Repair Voice,Gimbal,1,Bad support experience,"Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Unresolved,Escalated to Tier 2,Agent-Driven DSAT,Weak Probing
C0021,2026-03-29,Email,Agent C,APAC Chat,Gimbal,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Pending Customer,Escalated to Repair Center,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0022,2026-03-08,Chat,Agent D,NA Chat,Repair Service,2,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Pending Backend,Escalated to Repair Center,Non-Agent-Driven DSAT,Repair Delay
C0023,2026-01-07,Email,Agent F,APAC Chat,Repair Service,1,I had to repeat myself,"Customer: This is my third contact. Agent: Let me check your previous case. The customer was impacted by process delay and the current agent also did not clearly explain the escalation timeline. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Escalation Mishandling.,Escalated,Escalated to Repair Center,Mixed Accountability,Escalation Mishandling
C0024,2026-02-05,Chat,Agent C,NA Email,Battery,1,Bad support experience,"Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Resolved,No Escalation,Agent-Driven DSAT,Weak Probing
C0025,2026-01-15,Email,Agent C,NA Chat,Drone,1,I felt ignored,Customer: I need help with my Drone issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Pending Customer,Escalated to Tier 2,Agent-Driven DSAT,Unprofessional Tone
